DT,CompanyCode,CompanyName,DistributorID,DistributorName,BranchCode,BranchName,WHCode,WHName,ProfitCentreCode,DistributorProductID,ProductID,ProductName,UOM,QTY
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005252,แบรนด์จูเนียร์ อัลฟ่าพลัส ฟรุ๊ตลาวา 42 มล. แพค 12,PAC,84.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005254,แบรนด์จูเนียร์ อัลฟ่าพลัส น้ำผึ้ง 42 มล. แพค 12,PAC,48.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005256,แบรนด์จูเนียร์ อัลฟ่าพลัส ช็อกโกลาวา 42 มล. แพค 12,PAC,150.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005295,แบรนด์ เจนยู ลูทีน่า พลัส 100 มล. แพค 8,PAC,42.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005447,วีต้า ฟรุตแอคทีฟ เมโทพลัส ไลโคปีน 42 มล. แพค 12,PAC,144.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005495,แบรนด์ เจนยู จินเซนโนไซด์ เจนโปร 100 มล. แพค 8,PAC,0.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005678,วีต้า ฟรุตแอคทีฟ พลัสบ๊อกบิลเบอร์รี่ 42 มล. แพค 12,PAC,1362.5000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005679,วีต้า ฟรุตแอคทีฟ พรุนพลัสกรีนคอฟฟี่บีน 42 มล.แพค12,PAC,496.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005785,แบรนด์รังนกแท้ กลิ่นซากุระ 42 มล. แพค 6,PAC,40.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005894,แบรนด์ซุปไก่สกัด ช็อกโกแลตซิกเนเจอร์ 70 มล. แพค 12,PAC,0.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005942,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 42 มล. แพค 12 (Alex),PAC,4675.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005944,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 70 มล. แพค 12 (Alex),PAC,1578.5000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14005972,แบรนด์ เจนยู ลูทีน่า พลัส 50 มล. แพค 8,PAC,1447.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14006020,แบรนด์ซุปไก่สกัด ช็อกโกแลตซิกเนเจอร์ 42 มล. แพค 12,PAC,0.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CG0,Main Warehouse,,,14006145,แบรนด์รังนกแท้ สูตรคลาสสิค 42 มล. แพค 6,PAC,1104.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14003432,แบรนด์ซุปไก่สกัด รสกลมกล่อม 42 มล. แพค 12,PAC,6.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005108,แบรนด์รังนกรีจูนิเพล็กซ์ มายด์ไซลิทอล 42 มล. แพค 6,PAC,7.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005256,แบรนด์จูเนียร์ อัลฟ่าพลัส ช็อกโกลาวา 42 มล. แพค 12,PAC,4.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005295,แบรนด์ เจนยู ลูทีน่า พลัส 100 มล. แพค 8,PAC,8.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005447,วีต้า ฟรุตแอคทีฟ เมโทพลัส ไลโคปีน 42 มล. แพค 12,PAC,6.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005495,แบรนด์ เจนยู จินเซนโนไซด์ เจนโปร 100 มล. แพค 8,PAC,8.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005678,วีต้า ฟรุตแอคทีฟ พลัสบ๊อกบิลเบอร์รี่ 42 มล. แพค 12,PAC,37.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005679,วีต้า ฟรุตแอคทีฟ พรุนพลัสกรีนคอฟฟี่บีน 42 มล.แพค12,PAC,33.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005894,แบรนด์ซุปไก่สกัด ช็อกโกแลตซิกเนเจอร์ 70 มล. แพค 12,PAC,2.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005942,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 42 มล. แพค 12 (Alex),PAC,106.5000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005944,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 70 มล. แพค 12 (Alex),PAC,35.7500
